name,min_stock_amount,location_id,product_group_id,sub,Description
Sauce cocktail,1,Frigo,"Épices & sauce & aromates & condiments",,
Sauce caesar,0,Frigo,"Épices & sauce & aromates & condiments",,
Sauce béarnaise,0,Frigo,"Épices & sauce & aromates & condiments",,
Purée d'amande,0,Bibliotheque,"Épices & sauce & aromates & condiments",,
Purée de carotte,0,Bibliotheque,"Épices & sauce & aromates & condiments",,
Sauce burger,0,Frigo,"Épices & sauce & aromates & condiments",,
Sauce blanche,0,Frigo,"Épices & sauce & aromates & condiments",,
Sauce soja salée,1,Bibliotheque,"Épices & sauce & aromates & condiments",,
Sauce soja sucrée,1,Bibliotheque,"Épices & sauce & aromates & condiments",,
Sauce Teriyaki,0,Bibliotheque,"Épices & sauce & aromates & condiments",,
Sauce nem,2,Bibliotheque,"Épices & sauce & aromates & condiments",,
Sauce sriracha,1,Bibliotheque,"Épices & sauce & aromates & condiments",,
Sauce aigre douce,1,Bibliotheque,"Épices & sauce & aromates & condiments",,
Sauce nuoc-mâm,1,Bibliotheque,"Épices & sauce & aromates & condiments",,
Sauce Worcester,0,Bibliotheque,"Épices & sauce & aromates & condiments",,
Sauce à l'échalotes,0,Bibliotheque,"Épices & sauce & aromates & condiments",,
Sauce poivre,0,Bibliotheque,"Épices & sauce & aromates & condiments",,
Sauce fromage,0,Bibliotheque,"Épices & sauce & aromates & condiments",,
Sauce pesto (rouge),0,Bibliotheque,"Épices & sauce & aromates & condiments",,
Sauce pesto (vert),0,Bibliotheque,"Épices & sauce & aromates & condiments",,
Sauce tandoori,0,Bibliotheque,"Épices & sauce & aromates & condiments",,
Sauce tartare,0,Bibliotheque,"Épices & sauce & aromates & condiments",,
Harissa,0,Bibliotheque,"Épices & sauce & aromates & condiments",,
Kub or,0,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Bouillon de boeuf (cube),10,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Bouillon de boeuf (liquide),0,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Bouillon de légumes (cube),10,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Bouillon de légumes (liquide),0,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Bouillon de volaille (cube),10,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Bouillon de volaille (liquide),0,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Fond de veau,1,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Fond de volaille,0,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Miel,1,Bibliotheque,"Épices & sauce & aromates & condiments",,
Pâte à tartiner (chocolat & noisette),1,Bibliotheque,"Épices & sauce & aromates & condiments",,
Beurre de cacahuète,1,Bibliotheque,"Épices & sauce & aromates & condiments",,
Poudre d'amande,1,Bibliotheque,"Épices & sauce & aromates & condiments",,
Poudre de noisette,0,Bibliotheque,"Épices & sauce & aromates & condiments",,
Créatine,1000,Bibliotheque,"Épices & sauce & aromates & condiments",,
Cacao en poudre (non sucré),1,Bibliotheque,"Épices & sauce & aromates & condiments",,
Cacao en poudre (sucré),0,Bibliotheque,"Épices & sauce & aromates & condiments",,
Citronnelle,0,Frigo,"Épices & sauce & aromates & condiments",,
Clou de girofle,0,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Confiture,0,Frigo,"Épices & sauce & aromates & condiments",,
Confiture d'abricots,0,Frigo,"Épices & sauce & aromates & condiments",Confiture,
Confiture de cerise,0,Frigo,"Épices & sauce & aromates & condiments",Confiture,
Confiture de figues,0,Frigo,"Épices & sauce & aromates & condiments",Confiture,
Confiture de fraises,0,Frigo,"Épices & sauce & aromates & condiments",Confiture,
Confiture de framboises,0,Frigo,"Épices & sauce & aromates & condiments",Confiture,
Confiture de fruits rouges,0,Frigo,"Épices & sauce & aromates & condiments",Confiture,
Confiture de groseilles,0,Frigo,"Épices & sauce & aromates & condiments",Confiture,
Confiture de lait,0,Frigo,"Épices & sauce & aromates & condiments",Confiture,
Confiture de myrtilles,0,Frigo,"Épices & sauce & aromates & condiments",Confiture,
Confiture de mûres,0,Frigo,"Épices & sauce & aromates & condiments",Confiture,
Coulis de framboise,0,Frigo,"Épices & sauce & aromates & condiments",,
Coulis de fruits rouges,0,Frigo,"Épices & sauce & aromates & condiments",,
Guacamole,0,Frigo,"Épices & sauce & aromates & condiments",,
Menthe,0,Frigo,"Épices & sauce & aromates & condiments",,
Pâte de curry (rouge),0,Frigo,"Épices & sauce & aromates & condiments",,
Pâte de curry (jaune),0,Frigo,"Épices & sauce & aromates & condiments",,
Pâte de curry (vert),0,Frigo,"Épices & sauce & aromates & condiments",,
Ras el hanout,1,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Viandox,0,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,

Biscuits apéritif,0,Placard salon,Snacks et apéritifs,,
Chips,0,Placard salon,Snacks et apéritifs,Biscuits apéritif,
Bretzel,1,Placard salon,Snacks et apéritifs,Biscuits apéritif,
Croustilles,1,Placard salon,Snacks et apéritifs,Biscuits apéritif,
Cacahuètes,1,Placard salon,Snacks et apéritifs,Biscuits apéritif,
Olives noires,0,Frigo,Snacks et apéritifs,,
Olives vertes,0,Frigo,Snacks et apéritifs,,
Câpres,0,Frigo,Snacks et apéritifs,,
Cornichons,1,Frigo,Snacks et apéritifs,,
Blinis,0,Placard salon,Snacks et apéritifs,,
Houmous,1,Frigo,Snacks et apéritifs,,
Tapenade (noire),0,Frigo,Snacks et apéritifs,,
Tapenade (verte),0,Frigo,Snacks et apéritifs,,
Tarama,0,Frigo,Snacks et apéritifs,,
Tzatziki,0,Frigo,Snacks et apéritifs,,
Tartinade,0,Frigo,Snacks et apéritifs,,
Tartinade (surimi),0,Frigo,Snacks et apéritifs,Tartinade,
Tartinade (thon),0,Frigo,Snacks et apéritifs,Tartinade,
Tartinade (poulet),0,Frigo,Snacks et apéritifs,Tartinade,
Croûtons,0,Bibliotheque,Snacks et apéritifs,,
Saucisson sec,1,Placard,Snacks et apéritifs,,
Saucisson à l'ail,0,Frigo,Snacks et apéritifs,,
Coppa,0,Frigo,Snacks et apéritifs,Saucisson sec,
Rosette,0,Frigo,Snacks et apéritifs,,
Salami,0,Frigo,Snacks et apéritifs,,
Salami (tranché),0,Frigo,Snacks et apéritifs,,

Aligot,0,Frigo,Plats préparés & produits surgelés,,
Pizza surgelée,0,Congelateur,Plats préparés & produits surgelés,,
Fruits surgelés,0,Congelateur,Plats préparés & produits surgelés,,
Plats cuisinés surgelés,1,Congelateur,Plats préparés & produits surgelés,,
Nems,6,Congelateur,Plats préparés & produits surgelés,,
Amuse-gueule,6,Congelateur,Plats préparés & produits surgelés,,
Poêlée de légumes,1,Congelateur,Plats préparés & produits surgelés,,
